2023-06-29 23:49:21,1000000000000000000,2000001,1,1854.22
2023-06-29 23:49:21,500000000000000000,2000002,1,1854.22
2023-06-29 23:49:21,,2000003,0,1854.22
2023-06-29 23:49:21,,2000004,0,1854.22
2023-06-29 23:49:21,,2000005,0,1854.22
2023-06-29 23:49:21,1500000000000000000,2000006,1,1854.22
2023-06-29 23:49:21,5000000000000000000,2000007,1,1854.22
2023-06-29 23:49:21,3000000000000000000,2000008,2,1854.22
2023-06-29 23:49:21,500000000000000000,2000009,3,1854.22
2023-06-29 23:49:21,500000000000000000,2000010,1,1854.22
2023-06-29 23:49:21,50000000000000000,2000011,2,1854.22
2023-06-29 23:49:21,,2000012,0,1854.22
2023-06-29 23:49:21,,2000013,0,1854.22
2023-06-29 23:49:21,1500000000000000000,2000014,1,1854.22
2023-06-29 23:49:21,,2000015,0,1854.22
2023-06-29 23:49:21,,2000016,0,1854.22
2023-06-29 23:49:21,500000000000000000,2000017,2,1854.22
2023-06-29 23:49:21,11111111110000000,2000018,3,1854.22
2023-06-29 23:49:21,,2000019,0,1854.22
2023-06-29 23:49:21,,2000020,0,1854.22
2023-06-29 23:49:21,1000000000000000000,2000021,3,1854.22
2023-06-29 23:49:21,1500000000000000000,2000022,1,1854.22
2023-06-29 23:49:21,,2000023,0,1854.22
2023-06-29 23:49:21,5000000000000000000,2000024,1,1854.22
2023-06-29 23:49:21,5000000000000000,2000025,3,1854.22
2023-06-29 23:49:21,500000000000000000,2000026,4,1854.22
2023-06-29 23:49:21,,2000027,0,1854.22
2023-06-29 23:49:21,1000000000000000000,2000028,1,1854.22
2023-06-29 23:49:21,1000000000000000000,2000029,2,1854.22
2023-06-29 23:49:21,1500000000000000000,2000030,1,1854.22
2023-06-29 23:49:21,1500000000000000000,2000031,1,1854.22
2023-06-29 23:49:21,250000000000000000,2000032,1,1854.22
2023-06-29 23:49:21,,2000033,0,1854.22
2023-06-29 23:49:21,,2000034,0,1854.22
2023-06-29 23:49:21,,2000035,0,1854.22
